device_id,device_type,brand,model,os_version,app_version
D00067,iOS,Apple,iPhone 14,iOS 17,5.2.2
D00068,Android,Vivo,Realme GT,Android 14,5.1.8
D00069,Android,Nothing,Reno 11,Android 13,5.2.2
D00070,iOS,Apple,iPhone 14,iOS 16,5.2.1
D00071,iOS,Apple,iPhone 16,iOS 18,5.1.8
D00072,iOS,Apple,iPhone 13,Android 12,5.2.1
D00073,iOS,Apple,iPhone 15,Android 14,5.1.9
D00074,iOS,Apple,iPhone 13,Android 13,5.2.0
D00075,iOS,Apple,iPhone 16,iOS 17,5.1.8
D00076,iOS,Apple,iPhone 15,Android 13,5.2.0
D00077,Android,Oppo,Nord CE 3,iOS 16,5.2.1
D00078,iOS,Apple,iPhone 14,iOS 17,5.1.8
D00079,Android,Xiaomi,Edge 50,Android 13,5.2.1
D00080,Android,OnePlus,Reno 11,iOS 18,5.1.9
D00081,iOS,Apple,iPhone 13,Android 14,5.1.8
D00082,iOS,Apple,iPhone 14,iOS 18,5.2.0
D00083,Android,Nothing,Nord CE 3,Android 12,5.1.8
D00084,Android,Oppo,Galaxy S23,Android 12,5.2.0
D00085,Android,OnePlus,Nord CE 3,iOS 18,5.1.8
D00086,Android,Xiaomi,Galaxy S23,iOS 18,5.2.0
D00087,iOS,Apple,iPhone 13,Android 12,5.1.8
D00088,Android,Vivo,Reno 11,iOS 17,5.1.8
D00089,Android,Samsung,Galaxy A54,iOS 16,5.2.2
D00090,Android,Realme,Galaxy S23,Android 12,5.1.8
D00091,Android,Motorola,V29,Android 14,5.1.8
D00092,Android,OnePlus,Reno 11,iOS 16,5.2.1
D00093,Android,Motorola,V29,iOS 18,5.2.0
D00094,iOS,Apple,iPhone 13,iOS 16,5.1.9
D00095,Android,Samsung,Phone 2,Android 12,5.2.1
D00096,iOS,Apple,iPhone 14,iOS 16,5.2.2
D00097,Android,Vivo,V29,iOS 17,5.1.9
D00098,Android,Vivo,Phone 2,iOS 17,5.1.9
D00099,Android,Nothing,Phone 2,Android 14,5.2.1
D00100,Android,Xiaomi,Nord CE 3,Android 14,5.2.2
D00101,iOS,Apple,iPhone 16,Android 13,5.1.9
D00102,Android,Motorola,Nord CE 3,Android 13,5.1.9
D00103,iOS,Apple,iPhone 15,iOS 18,5.2.1
D00104,Android,Samsung,Galaxy A54,iOS 16,5.2.0
D00105,iOS,Apple,iPhone 14,iOS 18,5.2.0
D00106,Android,Xiaomi,Galaxy A54,Android 14,5.2.1
D00107,iOS,Apple,iPhone 16,iOS 18,5.2.0
D00108,iOS,Apple,iPhone 15,iOS 17,5.2.2
D00109,Android,Realme,Reno 11,iOS 18,5.1.9
D00110,Android,Xiaomi,Phone 2,iOS 16,5.2.0
D00111,Android,Motorola,Galaxy S23,iOS 17,5.1.9
D00112,Android,Xiaomi,11T Pro,Android 12,5.1.8
D00113,Android,OnePlus,Realme GT,iOS 17,5.1.8
D00114,iOS,Apple,iPhone 13,iOS 18,5.2.1
D00115,iOS,Apple,iPhone 13,iOS 18,5.2.2
D00116,iOS,Apple,iPhone 16,Android 14,5.2.0
D00117,Android,OnePlus,Realme GT,iOS 17,5.2.2
D00118,Android,OnePlus,Edge 50,iOS 18,5.2.1
D00119,iOS,Apple,iPhone 16,Android 14,5.2.2
D00120,Android,Xiaomi,Galaxy A54,Android 13,5.2.0
D00121,iOS,Apple,iPhone 13,iOS 17,5.2.2
D00122,iOS,Apple,iPhone 13,iOS 16,5.1.8
D00123,Android,Samsung,Nord CE 3,Android 12,5.1.8
D00124,iOS,Apple,iPhone 16,Android 13,5.2.1
D00125,Android,Xiaomi,Reno 11,Android 14,5.2.1
D00126,iOS,Apple,iPhone 16,iOS 17,5.1.9
D00127,iOS,Apple,iPhone 15,iOS 17,5.2.2
D00128,iOS,Apple,iPhone 14,Android 12,5.1.8
D00129,iOS,Apple,iPhone 16,Android 13,5.2.0
D00130,iOS,Apple,iPhone 16,iOS 18,5.2.1
D00131,iOS,Apple,iPhone 16,Android 14,5.2.1
D00132,iOS,Apple,iPhone 15,iOS 16,5.2.1
D00133,Android,Samsung,11T Pro,Android 14,5.1.8
D00134,iOS,Apple,iPhone 15,iOS 16,5.1.9
D00135,iOS,Apple,iPhone 13,Android 14,5.2.1
D00136,Android,Realme,11T Pro,Android 14,5.1.8
D00137,iOS,Apple,iPhone 13,Android 12,5.2.1
D00138,iOS,Apple,iPhone 16,iOS 18,5.2.0
D00139,Android,OnePlus,Edge 50,Android 14,5.2.1
D00140,iOS,Apple,iPhone 13,Android 13,5.1.9
D00141,iOS,Apple,iPhone 15,Android 14,5.2.1
D00142,iOS,Apple,iPhone 15,Android 14,5.2.1
D00143,Android,Realme,Reno 11,iOS 18,5.2.0
D00144,Android,Motorola,Reno 11,iOS 16,5.2.2
D00145,Android,OnePlus,11T Pro,iOS 17,5.2.0
D00146,Android,Xiaomi,Realme GT,Android 14,5.1.8
D00147,iOS,Apple,iPhone 16,Android 14,5.2.1
D00148,Android,Oppo,V29,Android 12,5.2.1
D00149,Android,Motorola,V29,Android 14,5.2.0
D00150,Android,OnePlus,Nord CE 3,Android 14,5.2.1
D00151,Android,Samsung,Nord CE 3,iOS 18,5.2.2
D00152,iOS,Apple,iPhone 16,iOS 18,5.2.0
D00153,iOS,Apple,iPhone 15,Android 14,5.1.9
D00154,iOS,Apple,iPhone 16,Android 13,5.1.8
D00155,Android,Vivo,V29,iOS 17,5.1.8
D00156,Android,Xiaomi,Edge 50,Android 13,5.2.1
D00157,Android,Realme,Realme GT,Android 12,5.1.9
D00158,Android,Realme,V29,Android 13,5.1.8
D00159,iOS,Apple,iPhone 15,iOS 16,5.1.8
D00160,Android,Samsung,Nord CE 3,Android 13,5.1.8
D00161,iOS,Apple,iPhone 16,iOS 17,5.2.1
D00162,iOS,Apple,iPhone 15,Android 13,5.2.2
D00163,iOS,Apple,iPhone 15,Android 13,5.1.8
D00164,iOS,Apple,iPhone 13,iOS 18,5.2.0
D00165,Android,Nothing,Galaxy S23,Android 13,5.2.0
D00166,iOS,Apple,iPhone 14,Android 13,5.1.9
D00167,iOS,Apple,iPhone 16,iOS 16,5.2.1
D00168,Android,Nothing,Realme GT,iOS 18,5.2.1
D00169,Android,OnePlus,Galaxy S23,iOS 18,5.2.1
D00170,Android,Vivo,Edge 50,iOS 18,5.2.0
D00171,Android,Realme,Reno 11,iOS 16,5.2.2
D00172,Android,Realme,11T Pro,iOS 16,5.1.8
D00173,Android,OnePlus,11T Pro,iOS 16,5.2.1
D00174,Android,OnePlus,Realme GT,iOS 18,5.1.9
D00175,iOS,Apple,iPhone 15,iOS 18,5.2.1
D00176,iOS,Apple,iPhone 14,Android 14,5.1.9
D00177,Android,Samsung,Realme GT,Android 13,5.2.0
D00178,iOS,Apple,iPhone 15,iOS 18,5.2.2
D00179,Android,Oppo,V29,Android 14,5.1.8
D00180,Android,OnePlus,V29,Android 13,5.2.0
D00181,iOS,Apple,iPhone 15,Android 13,5.2.2
D00182,Android,Samsung,Edge 50,iOS 17,5.2.1
D00183,iOS,Apple,iPhone 15,iOS 17,5.1.9
D00184,Android,Vivo,Galaxy A54,iOS 18,5.1.8
D00185,Android,Vivo,Realme GT,Android 13,5.2.0
D00186,iOS,Apple,iPhone 14,iOS 16,5.1.9
D00187,Android,Oppo,Phone 2,Android 12,5.1.8
D00188,Android,Xiaomi,Galaxy S23,Android 14,5.2.1
D00189,Android,Oppo,V29,Android 12,5.2.1
D00190,iOS,Apple,iPhone 16,iOS 16,5.2.1
D00191,Android,Vivo,Nord CE 3,Android 14,5.2.1
D00192,Android,Nothing,Nord CE 3,iOS 18,5.2.2
D00193,iOS,Apple,iPhone 16,iOS 16,5.2.0
D00194,Android,Nothing,Galaxy A54,Android 14,5.2.0
D00195,iOS,Apple,iPhone 15,iOS 17,5.2.1
D00196,iOS,Apple,iPhone 15,iOS 17,5.2.1
D00197,Android,OnePlus,Edge 50,Android 13,5.2.1
D00198,Android,Vivo,Nord CE 3,Android 12,5.1.8
D00199,iOS,Apple,iPhone 14,Android 12,5.2.2
D00200,Android,Samsung,Galaxy A54,Android 12,5.2.1
D00201,iOS,Apple,iPhone 14,Android 13,5.2.1
D00202,Android,OnePlus,Realme GT,iOS 17,5.2.1
D00203,iOS,Apple,iPhone 15,iOS 18,5.2.2
D00204,Android,Samsung,Nord CE 3,Android 13,5.1.8
D00205,Android,Samsung,Nord CE 3,iOS 18,5.1.9
D00206,iOS,Apple,iPhone 15,iOS 18,5.1.8
D00207,Android,OnePlus,V29,Android 13,5.2.0
D00208,Android,Vivo,Realme GT,Android 12,5.2.2
D00209,iOS,Apple,iPhone 13,Android 14,5.2.0
D00210,iOS,Apple,iPhone 16,Android 14,5.1.8
D00211,iOS,Apple,iPhone 16,iOS 18,5.2.2
D00212,iOS,Apple,iPhone 13,Android 12,5.2.1
D00213,iOS,Apple,iPhone 16,iOS 16,5.2.2
D00214,Android,Vivo,V29,Android 14,5.1.9
D00215,iOS,Apple,iPhone 16,Android 13,5.2.1
D00216,Android,Samsung,Nord CE 3,Android 12,5.2.0
D00217,iOS,Apple,iPhone 14,iOS 17,5.1.9
D00218,iOS,Apple,iPhone 16,Android 12,5.1.8
D00219,Android,Vivo,11T Pro,Android 14,5.1.8
D00220,iOS,Apple,iPhone 13,iOS 16,5.2.0
D00221,Android,Realme,Galaxy S23,Android 14,5.1.9
D00222,Android,Realme,Galaxy A54,Android 14,5.2.1
D00223,Android,Xiaomi,Edge 50,iOS 18,5.1.8
D00224,Android,Vivo,Realme GT,Android 12,5.1.8
D00225,Android,Xiaomi,Galaxy S23,Android 13,5.2.1
D00226,iOS,Apple,iPhone 13,Android 12,5.2.1
D00227,iOS,Apple,iPhone 14,Android 12,5.2.1
D00228,iOS,Apple,iPhone 16,Android 12,5.2.0
D00229,iOS,Apple,iPhone 15,Android 13,5.2.0
D00230,iOS,Apple,iPhone 14,Android 14,5.2.1
D00231,iOS,Apple,iPhone 13,Android 12,5.1.9
D00232,iOS,Apple,iPhone 15,Android 14,5.1.9
D00233,Android,Realme,11T Pro,Android 14,5.2.1
D00234,Android,OnePlus,Realme GT,iOS 16,5.2.0
D00235,Android,OnePlus,Realme GT,iOS 17,5.1.8
D00236,Android,OnePlus,Nord CE 3,iOS 16,5.2.2
D00237,iOS,Apple,iPhone 13,iOS 17,5.1.8
D00238,Android,OnePlus,V29,Android 12,5.2.0
D00239,Android,OnePlus,Galaxy S23,Android 12,5.1.9
D00240,Android,Motorola,Edge 50,iOS 18,5.2.2
D00241,iOS,Apple,iPhone 14,Android 12,5.2.2
D00242,Android,Oppo,Nord CE 3,iOS 17,5.2.0
D00243,Android,Realme,Realme GT,iOS 18,5.2.1
D00244,iOS,Apple,iPhone 13,Android 12,5.2.2
D00245,Android,Motorola,11T Pro,Android 12,5.2.0
D00246,Android,Samsung,Reno 11,iOS 17,5.2.0
D00247,iOS,Apple,iPhone 15,iOS 18,5.2.1
D00248,iOS,Apple,iPhone 13,iOS 16,5.2.1
D00249,Android,Nothing,Galaxy S23,iOS 16,5.1.9
D00250,iOS,Apple,iPhone 16,iOS 16,5.1.9
D00251,Android,Realme,Phone 2,iOS 18,5.2.1
D00252,Android,Xiaomi,Realme GT,iOS 16,5.2.1
D00253,Android,Motorola,V29,Android 13,5.2.1
D00254,Android,Oppo,11T Pro,iOS 16,5.1.8
D00255,Android,Vivo,Nord CE 3,Android 12,5.1.9
D00256,Android,Nothing,Nord CE 3,Android 12,5.2.2
D00257,Android,OnePlus,Realme GT,iOS 17,5.2.2
D00258,iOS,Apple,iPhone 14,iOS 16,5.1.9
D00259,Android,Samsung,Reno 11,Android 14,5.2.0
D00260,Android,Samsung,Phone 2,Android 12,5.2.1
D00261,Android,Xiaomi,Galaxy S23,iOS 16,5.2.2
D00262,Android,Motorola,Galaxy A54,Android 14,5.2.2
D00263,iOS,Apple,iPhone 15,iOS 18,5.1.8
D00264,Android,Realme,Reno 11,iOS 17,5.2.0
D00265,iOS,Apple,iPhone 13,iOS 17,5.2.2
D00266,iOS,Apple,iPhone 14,iOS 17,5.2.1
D00267,Android,Nothing,Nord CE 3,Android 14,5.1.8
D00268,Android,Vivo,Nord CE 3,iOS 16,5.2.2
D00269,Android,Oppo,Phone 2,iOS 17,5.1.9
D00270,Android,Xiaomi,Realme GT,iOS 18,5.2.2
D00271,iOS,Apple,iPhone 16,iOS 16,5.1.8
D00272,Android,Nothing,11T Pro,iOS 16,5.2.1
D00273,Android,Nothing,11T Pro,iOS 16,5.2.1
D00274,iOS,Apple,iPhone 16,Android 13,5.2.2
D00275,iOS,Apple,iPhone 15,Android 12,5.2.0
D00276,Android,OnePlus,11T Pro,Android 13,5.2.2
D00277,iOS,Apple,iPhone 14,Android 13,5.2.2
D00278,iOS,Apple,iPhone 14,Android 12,5.1.8
D00279,Android,Oppo,Edge 50,Android 14,5.2.2
D00280,iOS,Apple,iPhone 14,iOS 17,5.2.1
D00281,iOS,Apple,iPhone 16,iOS 17,5.2.2
D00282,iOS,Apple,iPhone 16,iOS 18,5.2.1
D00283,iOS,Apple,iPhone 13,iOS 16,5.2.0
D00284,Android,Nothing,Reno 11,Android 14,5.2.1
D00285,Android,OnePlus,Reno 11,iOS 18,5.2.1
D00286,iOS,Apple,iPhone 15,iOS 16,5.2.0
D00287,iOS,Apple,iPhone 13,iOS 16,5.1.9
D00288,Android,Nothing,V29,iOS 18,5.2.1
D00289,Android,Motorola,11T Pro,iOS 16,5.2.2
D00290,iOS,Apple,iPhone 15,iOS 16,5.1.8
D00291,Android,Vivo,V29,Android 14,5.1.9
D00292,Android,Xiaomi,11T Pro,Android 13,5.2.1
D00293,iOS,Apple,iPhone 15,iOS 16,5.2.1
D00294,Android,Samsung,V29,iOS 18,5.2.1
D00295,Android,Xiaomi,Phone 2,iOS 16,5.2.2
D00296,Android,OnePlus,Realme GT,iOS 16,5.2.0
D00297,iOS,Apple,iPhone 15,iOS 18,5.1.8
D00298,iOS,Apple,iPhone 14,iOS 17,5.2.2
D00299,Android,Oppo,Nord CE 3,Android 12,5.1.8
D00300,Android,Samsung,Nord CE 3,iOS 16,5.2.1
D00301,iOS,Apple,iPhone 16,Android 12,5.1.8
D00302,iOS,Apple,iPhone 13,Android 12,5.2.2
D00303,iOS,Apple,iPhone 14,iOS 16,5.2.0
D00304,iOS,Apple,iPhone 16,Android 12,5.1.9
D00305,iOS,Apple,iPhone 16,Android 13,5.2.0
D00306,Android,Realme,Galaxy A54,Android 13,5.2.0
D00307,iOS,Apple,iPhone 13,iOS 16,5.2.2
D00308,iOS,Apple,iPhone 16,Android 12,5.2.0
D00309,Android,Motorola,Edge 50,iOS 16,5.2.0
D00310,Android,Motorola,Reno 11,Android 12,5.2.0
D00311,Android,OnePlus,Reno 11,Android 13,5.2.2
D00312,iOS,Apple,iPhone 13,iOS 17,5.2.0
D00313,Android,Xiaomi,Phone 2,Android 14,5.1.8
D00314,Android,OnePlus,Nord CE 3,iOS 18,5.2.2
D00315,Android,Xiaomi,Nord CE 3,Android 12,5.2.1
D00316,iOS,Apple,iPhone 14,iOS 16,5.1.9
D00317,iOS,Apple,iPhone 16,iOS 16,5.2.1
D00318,Android,Xiaomi,Reno 11,Android 13,5.1.9
D00319,iOS,Apple,iPhone 15,iOS 18,5.2.1
D00320,Android,Samsung,V29,iOS 18,5.2.0
D00321,iOS,Apple,iPhone 13,Android 13,5.2.0
D00322,Android,Nothing,Edge 50,Android 14,5.2.1
D00323,iOS,Apple,iPhone 15,Android 14,5.2.2
D00324,iOS,Apple,iPhone 14,Android 13,5.2.2
D00325,iOS,Apple,iPhone 15,iOS 17,5.1.9
D00326,Android,Realme,Nord CE 3,Android 14,5.1.9
D00327,iOS,Apple,iPhone 13,iOS 18,5.1.9
D00328,iOS,Apple,iPhone 16,Android 12,5.2.2
D00329,Android,Nothing,Realme GT,Android 12,5.2.2
D00330,Android,Realme,Galaxy S23,iOS 18,5.1.8
D00331,iOS,Apple,iPhone 14,iOS 17,5.1.9
D00332,iOS,Apple,iPhone 14,Android 14,5.2.2
D00333,iOS,Apple,iPhone 15,Android 13,5.1.8
D00334,Android,OnePlus,V29,Android 13,5.2.0
D00335,iOS,Apple,iPhone 15,Android 13,5.1.8
D00336,iOS,Apple,iPhone 15,Android 12,5.2.1
D00337,Android,Oppo,Galaxy S23,iOS 17,5.2.0
D00338,iOS,Apple,iPhone 15,iOS 17,5.1.8
D00339,Android,Realme,Edge 50,Android 13,5.2.2
D00340,iOS,Apple,iPhone 13,iOS 17,5.1.9
D00341,iOS,Apple,iPhone 16,Android 12,5.1.9
D00342,Android,Samsung,V29,Android 13,5.2.0
D00343,Android,Xiaomi,V29,Android 14,5.1.8
D00344,iOS,Apple,iPhone 16,Android 13,5.1.8
D00345,iOS,Apple,iPhone 14,iOS 17,5.2.1
D00346,iOS,Apple,iPhone 13,iOS 16,5.1.9
D00347,iOS,Apple,iPhone 16,Android 12,5.2.2
D00348,iOS,Apple,iPhone 14,Android 13,5.2.2
D00349,Android,Xiaomi,Edge 50,Android 13,5.2.1
D00350,Android,Realme,Galaxy S23,iOS 18,5.2.1
D00351,iOS,Apple,iPhone 14,Android 12,5.1.9
D00352,iOS,Apple,iPhone 16,Android 12,5.1.9
D00353,Android,Realme,Edge 50,iOS 17,5.1.9
D00354,iOS,Apple,iPhone 16,iOS 18,5.1.9
D00355,Android,Realme,Galaxy S23,iOS 16,5.2.1
D00356,Android,OnePlus,Realme GT,iOS 18,5.1.9
D00357,iOS,Apple,iPhone 14,Android 13,5.1.8
D00358,iOS,Apple,iPhone 15,iOS 17,5.2.1
D00359,Android,Samsung,V29,Android 12,5.2.0
D00360,iOS,Apple,iPhone 14,iOS 17,5.1.9
D00361,iOS,Apple,iPhone 16,iOS 16,5.2.0
D00362,iOS,Apple,iPhone 15,Android 12,5.2.1
D00363,iOS,Apple,iPhone 14,Android 13,5.1.9
D00364,iOS,Apple,iPhone 16,Android 13,5.1.8
D00365,Android,Oppo,11T Pro,Android 12,5.1.9
D00366,Android,Xiaomi,Galaxy S23,iOS 16,5.2.0
D00367,Android,OnePlus,11T Pro,Android 13,5.2.1
D00368,Android,Xiaomi,Realme GT,Android 13,5.1.8
D00369,iOS,Apple,iPhone 13,Android 14,5.2.2
D00370,iOS,Apple,iPhone 15,iOS 16,5.1.9
D00371,iOS,Apple,iPhone 14,Android 13,5.2.2
D00372,iOS,Apple,iPhone 16,iOS 17,5.1.8
D00373,Android,Vivo,Edge 50,Android 12,5.2.1
D00374,iOS,Apple,iPhone 15,iOS 16,5.2.1
D00375,Android,Realme,11T Pro,Android 14,5.2.0
D00376,Android,Motorola,11T Pro,Android 13,5.2.2
D00377,iOS,Apple,iPhone 13,Android 12,5.1.8
D00378,iOS,Apple,iPhone 14,Android 14,5.1.9
D00379,Android,Vivo,Edge 50,Android 14,5.1.9
D00380,iOS,Apple,iPhone 16,iOS 18,5.2.0
D00381,Android,Xiaomi,11T Pro,Android 13,5.2.2
D00382,Android,Vivo,Phone 2,Android 14,5.2.0
D00383,iOS,Apple,iPhone 13,iOS 16,5.2.1
D00384,iOS,Apple,iPhone 14,iOS 16,5.1.9
D00385,Android,Samsung,Galaxy A54,iOS 17,5.2.1
D00386,Android,Motorola,V29,iOS 17,5.1.8
D00387,Android,Vivo,Galaxy A54,Android 14,5.1.9
D00388,iOS,Apple,iPhone 16,Android 13,5.2.2
D00389,iOS,Apple,iPhone 13,Android 13,5.2.0
D00390,Android,OnePlus,Edge 50,Android 12,5.1.9
D00391,iOS,Apple,iPhone 13,iOS 16,5.1.9
D00392,iOS,Apple,iPhone 15,Android 12,5.1.9
D00393,Android,Nothing,Realme GT,Android 12,5.1.9
D00394,Android,Motorola,Galaxy S23,iOS 16,5.2.0
D00395,iOS,Apple,iPhone 14,iOS 18,5.2.1
D00396,Android,Vivo,Nord CE 3,iOS 18,5.2.1
D00397,iOS,Apple,iPhone 14,iOS 16,5.1.8
D00398,iOS,Apple,iPhone 15,iOS 18,5.2.2
D00399,Android,Xiaomi,Reno 11,Android 12,5.2.1
D00400,iOS,Apple,iPhone 16,Android 12,5.2.0
D00401,iOS,Apple,iPhone 13,Android 13,5.2.0
D00402,iOS,Apple,iPhone 16,Android 12,5.2.2
D00403,Android,Xiaomi,V29,Android 12,5.2.0
D00404,Android,Realme,Nord CE 3,iOS 16,5.1.8
D00405,iOS,Apple,iPhone 14,Android 12,5.2.2
D00406,Android,Vivo,Reno 11,iOS 16,5.2.0
D00407,iOS,Apple,iPhone 13,Android 13,5.2.0
D00408,iOS,Apple,iPhone 16,iOS 18,5.1.8
D00409,Android,Xiaomi,11T Pro,Android 14,5.2.0
D00410,iOS,Apple,iPhone 13,iOS 17,5.1.8
D00411,Android,Oppo,Reno 11,Android 13,5.2.1
D00412,iOS,Apple,iPhone 13,Android 12,5.2.1
D00413,iOS,Apple,iPhone 14,iOS 17,5.1.8
D00414,Android,Nothing,Galaxy A54,iOS 17,5.1.9
D00415,iOS,Apple,iPhone 14,Android 13,5.2.0
D00416,Android,Xiaomi,Phone 2,Android 13,5.2.1
D00417,Android,Oppo,V29,Android 12,5.2.1
D00418,Android,OnePlus,Nord CE 3,Android 14,5.1.8
D00419,Android,OnePlus,Galaxy S23,Android 13,5.2.2
D00420,Android,Realme,Edge 50,iOS 18,5.2.2
D00421,Android,Vivo,Realme GT,iOS 18,5.1.8
D00422,iOS,Apple,iPhone 15,Android 12,5.2.0
D00423,iOS,Apple,iPhone 13,Android 13,5.1.8
D00424,iOS,Apple,iPhone 13,iOS 18,5.2.0
D00425,Android,Nothing,Nord CE 3,iOS 16,5.1.9
D00426,iOS,Apple,iPhone 14,Android 14,5.1.8
D00427,iOS,Apple,iPhone 16,iOS 17,5.2.2
D00428,Android,Vivo,Nord CE 3,iOS 17,5.2.1
D00429,iOS,Apple,iPhone 13,iOS 16,5.2.1
D00430,iOS,Apple,iPhone 15,iOS 17,5.2.0
D00431,Android,Motorola,V29,iOS 18,5.2.2
D00432,Android,Motorola,V29,Android 13,5.2.2
D00433,iOS,Apple,iPhone 13,Android 13,5.2.0
D00434,iOS,Apple,iPhone 16,iOS 17,5.2.1
D00435,Android,Samsung,Realme GT,Android 14,5.2.1
D00436,Android,Motorola,Galaxy S23,Android 14,5.2.0
D00437,Android,Samsung,11T Pro,Android 13,5.2.2
D00438,iOS,Apple,iPhone 13,Android 12,5.2.0
D00439,iOS,Apple,iPhone 15,Android 12,5.2.1
D00440,Android,Samsung,11T Pro,iOS 17,5.2.0
D00441,Android,Xiaomi,Realme GT,Android 14,5.2.1
D00442,Android,Nothing,Realme GT,iOS 18,5.1.8
D00443,iOS,Apple,iPhone 15,iOS 17,5.2.1
D00444,iOS,Apple,iPhone 16,Android 14,5.1.9
D00445,Android,Realme,Realme GT,iOS 18,5.2.2
D00446,iOS,Apple,iPhone 16,Android 14,5.2.2
D00447,Android,Oppo,Nord CE 3,iOS 18,5.2.0
D00448,Android,Xiaomi,Galaxy S23,iOS 17,5.2.2
D00449,Android,Xiaomi,Galaxy S23,Android 12,5.2.2
D00450,iOS,Apple,iPhone 14,Android 13,5.2.0
D00451,Android,Motorola,Nord CE 3,Android 14,5.2.2
D00452,iOS,Apple,iPhone 15,Android 12,5.2.2
D00453,iOS,Apple,iPhone 15,Android 12,5.2.0
D00454,iOS,Apple,iPhone 14,Android 14,5.2.2
D00455,iOS,Apple,iPhone 15,Android 13,5.2.2
D00456,Android,Samsung,Reno 11,iOS 17,5.1.9
D00457,iOS,Apple,iPhone 13,Android 12,5.1.8
D00458,Android,Realme,11T Pro,Android 12,5.1.9
D00459,Android,Motorola,Realme GT,iOS 16,5.2.2
D00460,iOS,Apple,iPhone 13,iOS 18,5.2.0
