ticket_id,transaction_id,user_id,issue_type,ticket_status,resolution_time_minutes,customer_rating
SP000092,T0004767,U000619,Money Debited Not Credited,Resolved,1091,5
SP000093,T0075788,U005936,UPI PIN Issue,Open,308,2
SP000094,T0067416,U001953,Payment Failed,Resolved,1012,2
SP000095,T0076364,U002605,Payment Failed,Resolved,1181,4
SP000096,T0002134,U004925,Money Debited Not Credited,Resolved,1336,3
SP000097,T0033172,U003327,Payment Failed,Resolved,217,2
SP000098,T0052693,U005781,Transaction Pending,Resolved,868,2
SP000099,T0006072,U004884,Money Debited Not Credited,Open,1179,2
SP000100,T0088656,U001650,Refund Pending,Resolved,1138,1
SP000101,T0052574,U005345,Duplicate Debit,In Progress,247,4
SP000102,T0047430,U001482,Payment Failed,In Progress,1403,3
SP000103,T0083991,U005617,Merchant Complaint,Resolved,933,4
SP000104,T0044009,U004924,Payment Failed,Open,911,1
SP000105,T0099140,U002671,Money Debited Not Credited,Open,917,1
SP000106,T0067075,U003106,Duplicate Debit,Resolved,552,2
SP000107,T0051889,U006179,UPI PIN Issue,In Progress,685,1
SP000108,T0082149,U003887,UPI PIN Issue,Resolved,519,2
SP000109,T0036072,U003007,Duplicate Debit,Resolved,214,2
SP000110,T0086988,U005785,Money Debited Not Credited,Open,237,4
SP000111,T0002281,U008871,Bank Server Error,Resolved,430,4
SP000112,T0022479,U005286,Transaction Pending,Open,319,4
SP000113,T0093360,U009078,Duplicate Debit,Resolved,988,1
SP000114,T0021443,U001353,Payment Failed,In Progress,412,2
SP000115,T0042503,U002746,UPI PIN Issue,Resolved,299,4
SP000116,T0015246,U008078,Refund Pending,Resolved,462,1
SP000117,T0057469,U001412,UPI PIN Issue,Open,1114,4
SP000118,T0032713,U004220,Bank Server Error,In Progress,282,4
SP000119,T0075322,U002712,Merchant Complaint,Resolved,1057,1
SP000120,T0093655,U001108,UPI PIN Issue,In Progress,940,5
SP000121,T0044598,U009684,Merchant Complaint,Resolved,1234,3
SP000122,T0072546,U008206,Bank Server Error,Resolved,333,1
SP000123,T0047015,U000678,Bank Server Error,Resolved,1120,1
SP000124,T0027158,U001563,Transaction Pending,Resolved,888,1
SP000125,T0075362,U000740,Duplicate Debit,Resolved,894,2
SP000126,T0042479,U003976,Merchant Complaint,Resolved,874,5
SP000127,T0056408,U007621,Bank Server Error,Resolved,295,5
SP000128,T0073296,U001249,Bank Server Error,Resolved,426,2
SP000129,T0052689,U000069,Merchant Complaint,Resolved,713,1
SP000130,T0032842,U007297,Merchant Complaint,Resolved,243,4
SP000131,T0026878,U000905,Bank Server Error,In Progress,934,3
SP000132,T0023973,U006451,Refund Pending,In Progress,234,1
SP000133,T0078033,U002517,Money Debited Not Credited,Open,44,3
SP000134,T0017878,U004289,Transaction Pending,Resolved,509,2
SP000135,T0064994,U004288,UPI PIN Issue,In Progress,1393,4
SP000136,T0005608,U008462,Transaction Pending,Open,344,2
SP000137,T0069896,U004868,Transaction Pending,Resolved,412,2
SP000138,T0079700,U007601,Refund Pending,Open,22,1
SP000139,T0066260,U009415,Money Debited Not Credited,Resolved,20,1
SP000140,T0074968,U009247,Payment Failed,Resolved,1185,1
SP000141,T0062862,U007485,Money Debited Not Credited,Resolved,938,4
SP000142,T0074446,U008449,Transaction Pending,Resolved,1194,5
SP000143,T0058102,U006470,Merchant Complaint,Resolved,765,1
SP000144,T0018423,U008434,Duplicate Debit,In Progress,982,2
SP000145,T0077125,U003615,Bank Server Error,Resolved,994,1
SP000146,T0071399,U002050,Payment Failed,Resolved,828,3
SP000147,T0066645,U006558,Refund Pending,In Progress,718,4
SP000148,T0014650,U001588,Transaction Pending,Resolved,833,2
SP000149,T0032305,U005473,Duplicate Debit,Open,907,1
SP000150,T0044973,U004367,Money Debited Not Credited,Open,555,5
SP000151,T0089770,U001709,Refund Pending,Resolved,452,5
SP000152,T0029277,U005175,Duplicate Debit,Open,1286,5
SP000153,T0091685,U007955,Payment Failed,In Progress,1013,2
SP000154,T0099726,U006478,UPI PIN Issue,Resolved,120,4
SP000155,T0099284,U004658,Bank Server Error,Resolved,1172,4
SP000156,T0022877,U007900,Payment Failed,In Progress,518,1
SP000157,T0001078,U007560,Bank Server Error,Open,609,4
SP000158,T0087116,U009494,Merchant Complaint,Resolved,1049,1
SP000159,T0049599,U009331,Payment Failed,Resolved,1290,2
SP000160,T0049251,U006708,Refund Pending,Open,380,2
SP000161,T0065707,U000695,Merchant Complaint,Open,265,5
SP000162,T0040939,U009803,Bank Server Error,Open,982,1
SP000163,T0067496,U006993,Payment Failed,Resolved,42,4
SP000164,T0004238,U006724,Merchant Complaint,Resolved,861,3
SP000165,T0037357,U008087,Payment Failed,In Progress,779,2
SP000166,T0018476,U007563,Duplicate Debit,In Progress,46,4
SP000167,T0070946,U002810,Transaction Pending,Resolved,16,3
SP000168,T0032194,U004308,Bank Server Error,Resolved,694,4
SP000169,T0041024,U004362,Merchant Complaint,In Progress,452,5
SP000170,T0030486,U004875,Money Debited Not Credited,In Progress,290,1
SP000171,T0054774,U004033,Payment Failed,Open,1333,5
SP000172,T0091835,U002417,Bank Server Error,Resolved,1032,3
SP000173,T0031027,U005755,Money Debited Not Credited,Resolved,1367,5
SP000174,T0006420,U008080,Merchant Complaint,Resolved,420,1
SP000175,T0035388,U007004,Payment Failed,In Progress,834,5
SP000176,T0097917,U001278,Payment Failed,Resolved,332,2
SP000177,T0062792,U004778,Bank Server Error,Resolved,78,2
SP000178,T0099045,U006938,Bank Server Error,Open,71,3
SP000179,T0090580,U006129,Merchant Complaint,Resolved,636,5
SP000180,T0026809,U003134,Merchant Complaint,Resolved,1048,5
SP000181,T0069496,U009069,Bank Server Error,Open,720,3
SP000182,T0042068,U000732,Transaction Pending,Resolved,1400,1
SP000183,T0092606,U008124,Money Debited Not Credited,Resolved,1129,1
SP000184,T0038385,U001243,Bank Server Error,Resolved,982,1
SP000185,T0088349,U001582,Merchant Complaint,Resolved,253,3
SP000186,T0031075,U000392,UPI PIN Issue,Resolved,979,4
SP000187,T0043918,U007889,UPI PIN Issue,Resolved,35,2
SP000188,T0065010,U009940,UPI PIN Issue,In Progress,1417,4
SP000189,T0008774,U000534,UPI PIN Issue,In Progress,205,5
SP000190,T0042034,U005809,Money Debited Not Credited,Resolved,1308,3
SP000191,T0079863,U003794,UPI PIN Issue,Resolved,1002,5
SP000192,T0071555,U005814,Merchant Complaint,Open,349,1
SP000193,T0022427,U002660,Bank Server Error,Resolved,955,3
SP000194,T0072491,U001438,Transaction Pending,Open,1335,4
SP000195,T0070160,U000820,Transaction Pending,In Progress,833,5
SP000196,T0058247,U008758,Duplicate Debit,Resolved,1333,1
SP000197,T0059663,U000461,Bank Server Error,Open,491,1
SP000198,T0071735,U008978,Merchant Complaint,Open,390,1
SP000199,T0094567,U009215,Transaction Pending,Resolved,1219,1
SP000200,T0054570,U009123,Merchant Complaint,Open,557,1
SP000201,T0072339,U005176,Transaction Pending,Open,486,4
SP000202,T0039917,U000886,Duplicate Debit,In Progress,912,5
SP000203,T0007908,U003339,Duplicate Debit,Resolved,665,1
SP000204,T0068075,U000779,Refund Pending,Resolved,1345,5
SP000205,T0061269,U002171,Duplicate Debit,Open,1162,4
SP000206,T0035199,U006957,UPI PIN Issue,Resolved,245,1
SP000207,T0023774,U001001,Merchant Complaint,Open,1108,4
SP000208,T0086717,U004927,Bank Server Error,Resolved,967,3
SP000209,T0085503,U003450,Merchant Complaint,Resolved,754,3
SP000210,T0054376,U009929,Transaction Pending,Resolved,1293,3
SP000211,T0017106,U002590,Refund Pending,Resolved,923,4
SP000212,T0050092,U006671,Bank Server Error,Resolved,798,4
SP000213,T0050554,U001680,Bank Server Error,Resolved,685,4
SP000214,T0028844,U006479,UPI PIN Issue,In Progress,312,3
SP000215,T0011627,U002981,UPI PIN Issue,Resolved,227,3
SP000216,T0076763,U007510,Payment Failed,Open,1439,1
SP000217,T0018863,U005029,UPI PIN Issue,Resolved,1117,2
SP000218,T0038758,U000460,Transaction Pending,Resolved,148,1
SP000219,T0098967,U000551,Payment Failed,Resolved,409,5
SP000220,T0077315,U002435,Money Debited Not Credited,Resolved,378,5
SP000221,T0082071,U005944,UPI PIN Issue,Resolved,911,5
SP000222,T0058916,U008563,Merchant Complaint,Resolved,868,4
SP000223,T0091986,U008418,Money Debited Not Credited,In Progress,968,3
SP000224,T0037290,U007111,Merchant Complaint,In Progress,254,4
SP000225,T0025805,U001928,Bank Server Error,Resolved,46,4
SP000226,T0099815,U005327,Bank Server Error,Resolved,1403,3
SP000227,T0060633,U007150,Transaction Pending,Open,58,2
SP000228,T0065404,U007569,Money Debited Not Credited,Resolved,409,1
SP000229,T0087908,U003889,Bank Server Error,Resolved,777,2
SP000230,T0072427,U006414,Transaction Pending,Resolved,1313,4
SP000231,T0034328,U001651,Refund Pending,Resolved,739,2
SP000232,T0098155,U000142,Transaction Pending,Resolved,1281,3
SP000233,T0005146,U007816,Merchant Complaint,Resolved,995,5
SP000234,T0004284,U000521,Bank Server Error,Resolved,384,2
SP000235,T0022713,U005606,UPI PIN Issue,Resolved,1296,1
SP000236,T0059572,U009090,Bank Server Error,Resolved,639,2
SP000237,T0062804,U007478,Merchant Complaint,Resolved,720,1
SP000238,T0050367,U008743,Money Debited Not Credited,Resolved,1153,1
SP000239,T0020129,U009203,UPI PIN Issue,Resolved,152,5
SP000240,T0065740,U008630,UPI PIN Issue,Resolved,1183,4
SP000241,T0027911,U005445,Transaction Pending,In Progress,1210,2
SP000242,T0033772,U002316,Bank Server Error,Resolved,890,4
SP000243,T0010513,U001450,Money Debited Not Credited,Open,371,5
SP000244,T0062118,U000889,Bank Server Error,Resolved,976,5
SP000245,T0024113,U001435,UPI PIN Issue,Resolved,1136,5
SP000246,T0035784,U002270,Merchant Complaint,Resolved,774,4
SP000247,T0044738,U006077,Money Debited Not Credited,Open,1327,5
SP000248,T0010777,U008977,Payment Failed,In Progress,1291,5
SP000249,T0011214,U007758,Transaction Pending,Resolved,715,5
SP000250,T0097591,U004907,Duplicate Debit,In Progress,109,3
SP000251,T0072770,U009344,Money Debited Not Credited,Resolved,973,4
SP000252,T0011486,U008689,Payment Failed,Open,802,2
SP000253,T0066561,U009607,Merchant Complaint,Resolved,1172,3
SP000254,T0055434,U006367,Money Debited Not Credited,In Progress,225,2
SP000255,T0029256,U000279,Payment Failed,Resolved,64,4
SP000256,T0033576,U006633,Bank Server Error,In Progress,115,4
SP000257,T0071241,U003945,Bank Server Error,Resolved,1187,1
SP000258,T0020199,U008496,Duplicate Debit,Resolved,878,3
SP000259,T0005779,U000465,Bank Server Error,Resolved,152,1
SP000260,T0017950,U007009,Duplicate Debit,Resolved,581,2
SP000261,T0046916,U009765,Transaction Pending,Resolved,408,2
SP000262,T0030232,U003416,Bank Server Error,In Progress,554,3
SP000263,T0098974,U009715,Money Debited Not Credited,Resolved,395,4
SP000264,T0068316,U009752,Money Debited Not Credited,Resolved,385,1
SP000265,T0084760,U004606,Transaction Pending,Resolved,1282,4
SP000266,T0036063,U004569,Refund Pending,Resolved,863,1
SP000267,T0013609,U006586,Bank Server Error,Resolved,456,5
SP000268,T0033847,U008537,Payment Failed,Resolved,454,1
SP000269,T0016731,U007277,Money Debited Not Credited,Resolved,623,4
SP000270,T0091956,U007725,Money Debited Not Credited,Resolved,1440,4
SP000271,T0026804,U002354,UPI PIN Issue,Resolved,1071,1
SP000272,T0064803,U000912,Money Debited Not Credited,Resolved,795,1
SP000273,T0000331,U007601,UPI PIN Issue,Open,296,5
SP000274,T0041017,U000534,Transaction Pending,Open,500,3
SP000275,T0004803,U008822,UPI PIN Issue,In Progress,623,2
SP000276,T0000939,U002042,Payment Failed,Resolved,218,2
SP000277,T0069701,U009945,Bank Server Error,In Progress,975,5
SP000278,T0031213,U007440,Refund Pending,Resolved,218,1
SP000279,T0004713,U007517,Money Debited Not Credited,Resolved,109,3
SP000280,T0076333,U006740,Refund Pending,Resolved,908,5
SP000281,T0062774,U009598,Transaction Pending,Resolved,209,2
SP000282,T0014893,U003586,Merchant Complaint,Open,295,4
SP000283,T0086091,U004215,Merchant Complaint,In Progress,262,2
SP000284,T0059068,U006994,Transaction Pending,Open,301,2
SP000285,T0017991,U008552,Transaction Pending,Resolved,936,5
SP000286,T0073325,U005897,Refund Pending,Resolved,262,1
SP000287,T0072454,U009043,Money Debited Not Credited,Resolved,1072,4
SP000288,T0003128,U008508,Transaction Pending,Resolved,1186,5
SP000289,T0097798,U007889,Transaction Pending,Resolved,729,4
SP000290,T0051004,U007106,Refund Pending,Resolved,896,1
SP000291,T0063350,U007431,Transaction Pending,Resolved,105,3
SP000292,T0061289,U001461,Duplicate Debit,Resolved,747,4
SP000293,T0061931,U005034,Merchant Complaint,Resolved,1064,5
SP000294,T0062378,U002607,Money Debited Not Credited,Open,499,5
SP000295,T0089987,U005944,Payment Failed,Resolved,502,2
SP000296,T0030321,U002417,Duplicate Debit,Resolved,1004,3
SP000297,T0010744,U007428,Refund Pending,Resolved,154,3
SP000298,T0033167,U005914,Merchant Complaint,In Progress,1397,3
SP000299,T0081332,U003301,Refund Pending,Resolved,892,4
SP000300,T0032361,U007784,Payment Failed,Resolved,1215,5
SP000301,T0075018,U008198,Money Debited Not Credited,Resolved,896,4
SP000302,T0082395,U001974,Payment Failed,Resolved,616,1
SP000303,T0047583,U009667,Duplicate Debit,Resolved,313,1
SP000304,T0033978,U004013,Duplicate Debit,In Progress,316,5
SP000305,T0062257,U002964,Payment Failed,Resolved,1267,4
SP000306,T0040522,U001159,UPI PIN Issue,Resolved,1420,3
SP000307,T0055629,U001350,Merchant Complaint,Resolved,631,3
SP000308,T0013896,U000864,Duplicate Debit,Open,976,3
SP000309,T0074355,U001505,Payment Failed,Resolved,485,1
SP000310,T0002847,U003989,Bank Server Error,Resolved,941,2
SP000311,T0081381,U005892,Refund Pending,Resolved,44,1
SP000312,T0008849,U004812,Bank Server Error,Resolved,660,4
SP000313,T0059122,U005935,Merchant Complaint,Resolved,339,3
SP000314,T0007876,U007152,Refund Pending,In Progress,698,4
SP000315,T0033350,U005661,Bank Server Error,In Progress,105,5
SP000316,T0047089,U003090,Merchant Complaint,Resolved,1353,1
SP000317,T0083624,U003952,Bank Server Error,Resolved,932,3
SP000318,T0066717,U005681,Refund Pending,Resolved,416,4
SP000319,T0048694,U000727,Transaction Pending,Resolved,675,1
SP000320,T0090830,U005800,UPI PIN Issue,Resolved,266,2
SP000321,T0003637,U007343,Transaction Pending,In Progress,1009,2
SP000322,T0038511,U005157,Money Debited Not Credited,Resolved,660,5
SP000323,T0084864,U002997,Payment Failed,In Progress,415,1
SP000324,T0020760,U003942,Transaction Pending,In Progress,239,5
SP000325,T0087421,U001294,UPI PIN Issue,Resolved,979,4
SP000326,T0098118,U002829,Money Debited Not Credited,Resolved,1155,5
SP000327,T0060981,U008236,UPI PIN Issue,Resolved,1124,1
SP000328,T0049209,U005532,UPI PIN Issue,Resolved,817,3
SP000329,T0090191,U003675,Transaction Pending,Resolved,1421,4
SP000330,T0055045,U009303,Transaction Pending,Resolved,99,4
SP000331,T0088890,U006875,UPI PIN Issue,Resolved,901,2
SP000332,T0040043,U003147,Bank Server Error,Resolved,646,3
SP000333,T0035861,U005695,Money Debited Not Credited,Resolved,174,1
SP000334,T0001053,U002914,UPI PIN Issue,In Progress,977,2
SP000335,T0041852,U004929,Money Debited Not Credited,Resolved,820,3
SP000336,T0068128,U001422,Bank Server Error,In Progress,1176,1
SP000337,T0051663,U002937,Merchant Complaint,Resolved,1006,2
SP000338,T0090242,U007618,Refund Pending,Resolved,829,5
SP000339,T0004165,U007269,Duplicate Debit,Open,1179,2
SP000340,T0059474,U008874,Duplicate Debit,Resolved,415,3
SP000341,T0094812,U007555,Bank Server Error,Open,783,4
SP000342,T0020973,U005087,UPI PIN Issue,In Progress,172,4
SP000343,T0009901,U003274,Refund Pending,Resolved,686,4
SP000344,T0040728,U008391,Payment Failed,Resolved,1043,3
SP000345,T0098348,U009431,Refund Pending,Open,924,4
SP000346,T0014529,U006376,Merchant Complaint,Resolved,71,4
SP000347,T0077153,U009065,Merchant Complaint,In Progress,32,2
SP000348,T0018377,U009370,UPI PIN Issue,Resolved,742,4
SP000349,T0014479,U005668,Duplicate Debit,Resolved,568,5
SP000350,T0035649,U009013,Refund Pending,Open,1395,1
SP000351,T0015177,U004567,Refund Pending,In Progress,1038,5
SP000352,T0095096,U003236,Merchant Complaint,Open,204,2
SP000353,T0028367,U004249,Duplicate Debit,Resolved,852,5
SP000354,T0018978,U005851,UPI PIN Issue,Resolved,824,1
SP000355,T0016575,U000679,UPI PIN Issue,In Progress,107,2
SP000356,T0051563,U008063,Money Debited Not Credited,Resolved,486,3
SP000357,T0036758,U006152,UPI PIN Issue,Resolved,1209,1
SP000358,T0053355,U005487,UPI PIN Issue,In Progress,320,5
SP000359,T0018226,U000613,UPI PIN Issue,In Progress,367,1
SP000360,T0055503,U008250,Bank Server Error,Resolved,816,4
SP000361,T0023201,U009309,Money Debited Not Credited,Resolved,123,5
SP000362,T0000901,U002634,Refund Pending,In Progress,1433,1
SP000363,T0061951,U007738,Payment Failed,In Progress,941,3
SP000364,T0070454,U007387,Merchant Complaint,Resolved,613,3
SP000365,T0021944,U006070,Refund Pending,In Progress,865,3
SP000366,T0039850,U001256,Transaction Pending,Resolved,583,3
SP000367,T0014130,U007685,Merchant Complaint,In Progress,44,2
SP000368,T0030665,U008116,Transaction Pending,Resolved,290,4
SP000369,T0090838,U005439,Merchant Complaint,Resolved,128,2
SP000370,T0033073,U000299,Payment Failed,Resolved,139,4
SP000371,T0095822,U000386,Transaction Pending,Resolved,190,1
SP000372,T0047907,U008343,Bank Server Error,Resolved,652,3
SP000373,T0012930,U003224,UPI PIN Issue,Resolved,71,1
SP000374,T0049981,U004671,Merchant Complaint,Open,792,5
SP000375,T0000773,U006008,UPI PIN Issue,Resolved,473,3
SP000376,T0015077,U003203,Payment Failed,In Progress,1309,5
SP000377,T0079274,U009237,Payment Failed,Resolved,884,1
SP000378,T0098257,U009732,Transaction Pending,Resolved,646,2
SP000379,T0000827,U005965,Transaction Pending,In Progress,563,4
SP000380,T0029742,U000453,Duplicate Debit,Resolved,1016,5
SP000381,T0036110,U002705,Merchant Complaint,Resolved,762,2
SP000382,T0079620,U002443,UPI PIN Issue,Resolved,1102,3
SP000383,T0059697,U003496,Refund Pending,In Progress,1005,2
SP000384,T0054322,U006844,Transaction Pending,In Progress,630,4
SP000385,T0034217,U008579,Payment Failed,Open,922,2
SP000386,T0027192,U000142,Transaction Pending,Open,104,3
SP000387,T0018788,U001903,Refund Pending,Open,385,4
SP000388,T0092939,U007776,Transaction Pending,Resolved,1130,3
SP000389,T0096595,U000092,Duplicate Debit,Resolved,719,3
SP000390,T0000370,U004352,UPI PIN Issue,In Progress,376,1
SP000391,T0045969,U009249,Refund Pending,In Progress,1238,2
SP000392,T0080360,U009702,Payment Failed,Open,47,2
SP000393,T0093830,U008050,Bank Server Error,Resolved,248,3
SP000394,T0097439,U003853,Money Debited Not Credited,Resolved,132,1
SP000395,T0056499,U009304,Duplicate Debit,Open,1371,5
SP000396,T0093900,U006936,Refund Pending,Resolved,1116,4
SP000397,T0035265,U005699,Bank Server Error,Resolved,1049,4
SP000398,T0096949,U006429,Transaction Pending,Resolved,421,5
SP000399,T0055554,U008289,Duplicate Debit,In Progress,1256,5
SP000400,T0093532,U008597,UPI PIN Issue,Resolved,997,2
SP000401,T0031358,U006859,Bank Server Error,Open,734,3
SP000402,T0057606,U002727,Refund Pending,Resolved,401,1
SP000403,T0080767,U006394,Refund Pending,Open,623,5
SP000404,T0056141,U004673,UPI PIN Issue,In Progress,902,4
SP000405,T0077114,U000114,Duplicate Debit,Open,1366,3
SP000406,T0059226,U005586,Merchant Complaint,Resolved,187,4
SP000407,T0016845,U003524,Payment Failed,Resolved,1354,5
SP000408,T0065427,U003794,Refund Pending,Resolved,819,5
SP000409,T0068685,U002152,Money Debited Not Credited,Resolved,508,5
SP000410,T0075181,U005162,Bank Server Error,Resolved,1180,3
SP000411,T0094184,U007650,Payment Failed,Resolved,1255,5
SP000412,T0073321,U006714,Merchant Complaint,Resolved,199,1
SP000413,T0012946,U003026,Money Debited Not Credited,Open,17,2
SP000414,T0071274,U000269,Merchant Complaint,Resolved,510,2
SP000415,T0035654,U006971,Transaction Pending,Resolved,1181,3
SP000416,T0046415,U008740,Duplicate Debit,In Progress,1312,2
SP000417,T0069389,U001452,Bank Server Error,Resolved,769,4
SP000418,T0078215,U005220,UPI PIN Issue,Resolved,1106,4
SP000419,T0035353,U006651,Merchant Complaint,Resolved,184,5
SP000420,T0044392,U000465,Refund Pending,Resolved,256,5
SP000421,T0014154,U008858,Bank Server Error,Resolved,668,2
SP000422,T0055526,U000364,Bank Server Error,Resolved,1160,2
SP000423,T0005932,U005213,Merchant Complaint,Resolved,1379,3
SP000424,T0067854,U008120,Merchant Complaint,In Progress,1106,3
SP000425,T0030492,U000771,Refund Pending,Resolved,1212,4
SP000426,T0051799,U004303,Duplicate Debit,Resolved,616,1
SP000427,T0018238,U004732,Money Debited Not Credited,Resolved,505,2
SP000428,T0061857,U008928,Money Debited Not Credited,Resolved,1104,5
SP000429,T0002383,U009637,Bank Server Error,Resolved,480,1
SP000430,T0079789,U000469,Transaction Pending,Resolved,368,2
SP000431,T0072352,U006820,Refund Pending,Resolved,440,3
SP000432,T0087931,U002149,Money Debited Not Credited,Resolved,1287,1
SP000433,T0018431,U007698,Transaction Pending,Resolved,550,4
SP000434,T0006810,U006438,Transaction Pending,Resolved,347,5
SP000435,T0064166,U000330,Payment Failed,In Progress,214,1
SP000436,T0072456,U006604,Refund Pending,Resolved,273,2
SP000437,T0001605,U004014,Duplicate Debit,Resolved,1247,1
SP000438,T0070525,U004806,Merchant Complaint,Resolved,731,5
SP000439,T0059673,U008396,Transaction Pending,Resolved,359,5
SP000440,T0045433,U008919,Merchant Complaint,Resolved,1018,4
