session_id,user_id,device_id,session_date,hour,session_duration_minutes,screens_viewed,transactions_attempted
S0000115,U000594,D02392,2025-02-15,1,13,13,1
S0000116,U008247,D00021,2025-01-06,19,17,16,5
S0000117,U002645,D02543,2025-08-10,17,28,15,2
S0000118,U006859,D00891,2025-01-20,3,9,5,4
S0000119,U008749,D00789,2025-02-08,16,45,1,4
S0000120,U000343,D04492,2025-09-02,10,11,20,1
S0000121,U004297,D02793,2025-12-15,15,6,18,2
S0000122,U001514,D01126,2025-11-17,12,45,5,1
S0000123,U004171,D04339,2025-12-16,15,18,11,5
S0000124,U003187,D02185,2025-08-22,10,31,17,3
S0000125,U000184,D03692,2025-04-14,12,17,12,2
S0000126,U002563,D02429,2025-05-21,15,14,11,4
S0000127,U006847,D04223,2025-06-26,19,22,18,5
S0000128,U008524,D04203,2025-02-15,21,38,1,4
S0000129,U005701,D03335,2025-10-01,19,16,14,3
S0000130,U002359,D02837,2025-07-05,7,22,7,2
S0000131,U008152,D04141,2025-08-21,8,17,20,5
S0000132,U008145,D04756,2025-09-18,9,45,8,0
S0000133,U002553,D02037,2025-11-02,18,13,4,1
S0000134,U007995,D00549,2025-02-24,12,39,6,5
S0000135,U003089,D00995,2025-02-13,13,17,9,5
S0000136,U002020,D00359,2025-09-17,0,24,10,4
S0000137,U007399,D03156,2025-03-13,13,20,12,3
S0000138,U004022,D03840,2025-11-18,3,37,15,1
S0000139,U004803,D00442,2025-04-25,18,31,20,4
S0000140,U007139,D03487,2025-02-04,5,6,12,2
S0000141,U008429,D00467,2025-02-25,21,15,5,0
S0000142,U007570,D03798,2025-04-03,7,26,10,2
S0000143,U005612,D01310,2025-12-01,20,31,3,4
S0000144,U002983,D03104,2025-02-09,11,16,6,5
S0000145,U002894,D02803,2025-12-22,11,33,9,0
S0000146,U007721,D01071,2025-11-18,11,26,12,4
S0000147,U009246,D02091,2025-01-13,6,39,19,0
S0000148,U006523,D01062,2025-04-10,8,1,8,1
S0000149,U009432,D01159,2025-01-27,0,23,14,5
S0000150,U005980,D04390,2025-08-04,16,42,7,0
S0000151,U009654,D01291,2025-11-13,15,7,7,1
S0000152,U000359,D03291,2025-05-29,12,43,17,5
S0000153,U009464,D01347,2025-09-01,5,1,11,5
S0000154,U006069,D00716,2025-10-19,3,19,2,1
S0000155,U005873,D01290,2025-03-29,0,30,16,2
S0000156,U007160,D04540,2025-12-03,15,14,4,1
S0000157,U004723,D04911,2025-07-29,13,35,8,1
S0000158,U009138,D04476,2025-10-07,10,8,14,3
S0000159,U000619,D00610,2025-12-19,6,7,20,0
S0000160,U007074,D03544,2025-01-10,4,27,17,2
S0000161,U004460,D03153,2025-08-06,9,27,6,1
S0000162,U000549,D01155,2025-03-07,11,41,10,1
S0000163,U004706,D04554,2025-09-15,13,17,2,1
S0000164,U005019,D00551,2025-11-27,8,44,16,1
S0000165,U003188,D00347,2025-04-07,16,15,16,1
S0000166,U009583,D01306,2025-06-12,15,28,13,5
S0000167,U006045,D01285,2025-04-10,8,26,3,5
S0000168,U009751,D04668,2025-12-02,14,1,2,3
S0000169,U002897,D04453,2025-07-21,0,24,16,1
S0000170,U006789,D03906,2025-11-13,17,35,16,3
S0000171,U004272,D02943,2025-07-11,9,29,3,1
S0000172,U000039,D04507,2025-01-19,2,7,18,0
S0000173,U007397,D02047,2025-01-09,16,31,11,0
S0000174,U001264,D02027,2025-05-26,15,19,3,3
S0000175,U004623,D02184,2025-11-19,23,41,8,0
S0000176,U006869,D04434,2025-03-26,12,4,16,0
S0000177,U005406,D04967,2025-05-18,10,7,6,0
S0000178,U005416,D04710,2025-01-09,7,33,14,5
S0000179,U007217,D02490,2025-09-30,8,44,11,2
S0000180,U009549,D03522,2025-09-29,10,13,3,5
S0000181,U003694,D04391,2025-06-05,22,38,19,4
S0000182,U009746,D02925,2025-04-03,22,20,17,4
S0000183,U006472,D04817,2025-06-01,19,11,15,3
S0000184,U003814,D03185,2025-07-24,8,38,11,4
S0000185,U003731,D00375,2025-10-19,21,45,15,3
S0000186,U000062,D01655,2025-02-10,0,28,12,4
S0000187,U003941,D00080,2025-04-29,11,45,2,5
S0000188,U005578,D04284,2025-08-21,1,1,10,3
S0000189,U005155,D01825,2025-05-23,14,31,19,2
S0000190,U002047,D01957,2025-01-23,9,38,3,5
S0000191,U003862,D03618,2025-05-07,13,24,16,3
S0000192,U009750,D02252,2025-10-16,4,3,15,2
S0000193,U002805,D03482,2025-05-13,11,31,7,4
S0000194,U004388,D01125,2025-05-16,20,41,1,4
S0000195,U004034,D02128,2025-04-06,16,10,20,3
S0000196,U004782,D00773,2025-06-24,1,8,13,3
S0000197,U008179,D04675,2025-11-20,2,10,9,3
S0000198,U000082,D02000,2025-02-28,10,1,6,4
S0000199,U003527,D04584,2025-08-02,19,26,11,2
S0000200,U007126,D03589,2025-07-13,17,14,16,4
S0000201,U003931,D03616,2025-12-08,17,3,13,2
S0000202,U005800,D04596,2025-04-24,14,20,18,2
S0000203,U004939,D02606,2025-11-03,22,10,5,4
S0000204,U001186,D01731,2025-06-28,8,32,10,4
S0000205,U003515,D02822,2025-11-29,20,16,5,5
S0000206,U003749,D00952,2025-07-25,12,15,8,3
S0000207,U003700,D00946,2025-09-18,1,38,17,1
S0000208,U004959,D01702,2025-07-04,21,24,1,3
S0000209,U005281,D01255,2025-10-25,12,43,9,4
S0000210,U007665,D02757,2025-07-15,17,39,11,4
S0000211,U007315,D00417,2025-03-06,20,20,6,0
S0000212,U003782,D04122,2025-11-24,0,29,15,0
S0000213,U000687,D03333,2025-01-22,5,41,6,5
S0000214,U006827,D04507,2025-10-09,16,23,18,3
S0000215,U000773,D01029,2025-12-17,3,11,8,1
S0000216,U005395,D00311,2025-07-25,22,26,2,3
S0000217,U008170,D03366,2025-10-26,17,19,2,3
S0000218,U009568,D02889,2025-03-30,1,7,17,3
S0000219,U002296,D03025,2025-10-06,10,36,15,0
S0000220,U001686,D00499,2025-01-10,10,25,19,2
S0000221,U005249,D00203,2025-05-10,7,17,11,1
S0000222,U009763,D04461,2025-04-05,21,29,4,3
S0000223,U004492,D04477,2025-04-24,10,42,13,1
S0000224,U001625,D03150,2025-10-18,16,28,10,2
S0000225,U009814,D02471,2025-08-20,9,26,6,5
S0000226,U009925,D00659,2025-09-27,2,34,2,3
S0000227,U001242,D01281,2025-11-20,18,34,19,1
S0000228,U002225,D04705,2025-04-25,4,30,15,0
S0000229,U004788,D02542,2025-04-06,11,29,17,0
S0000230,U001753,D02217,2025-07-16,13,24,14,4
S0000231,U005167,D03836,2025-04-20,17,38,8,3
S0000232,U008714,D03713,2025-07-07,12,44,6,2
S0000233,U004389,D04930,2025-05-25,2,16,11,3
S0000234,U006193,D03802,2025-10-05,22,23,20,1
S0000235,U000642,D02003,2025-06-14,4,30,9,0
S0000236,U000055,D04271,2025-04-28,10,9,18,5
S0000237,U009123,D01915,2025-02-17,22,32,7,0
S0000238,U007793,D03221,2025-11-03,21,18,15,0
S0000239,U006629,D02265,2025-06-08,7,45,1,2
S0000240,U000930,D02085,2025-03-27,13,39,12,4
S0000241,U001211,D03103,2025-04-11,19,36,7,5
S0000242,U001607,D02691,2025-09-28,7,41,16,5
S0000243,U009694,D02930,2025-05-05,13,28,3,2
S0000244,U002845,D01149,2025-11-04,5,24,2,5
S0000245,U001037,D00343,2025-08-09,1,1,5,2
S0000246,U005746,D04479,2025-12-13,15,32,14,2
S0000247,U009812,D00850,2025-01-25,9,33,19,0
S0000248,U003985,D03133,2025-10-17,14,45,16,3
S0000249,U007703,D03005,2025-11-20,20,33,9,0
S0000250,U002590,D02366,2025-06-22,12,27,10,1
S0000251,U001463,D00218,2025-12-12,9,34,6,5
S0000252,U008036,D03210,2025-03-29,10,26,14,2
S0000253,U006878,D04364,2025-01-11,23,12,3,3
S0000254,U003486,D00681,2025-05-31,14,5,12,0
S0000255,U000882,D04458,2025-01-05,7,2,2,0
S0000256,U006340,D02188,2025-01-03,16,37,19,3
S0000257,U007842,D04945,2025-12-30,14,33,16,5
S0000258,U008518,D00242,2025-01-31,9,24,6,4
S0000259,U009364,D04385,2025-12-25,15,25,10,1
S0000260,U007966,D01409,2025-04-29,5,18,15,3
S0000261,U003030,D02115,2025-01-02,13,41,13,1
S0000262,U000686,D03335,2025-08-18,18,32,14,4
S0000263,U008378,D01371,2025-02-21,20,43,6,4
S0000264,U009295,D02760,2025-11-17,13,44,8,1
S0000265,U003544,D03123,2025-04-06,12,8,5,0
S0000266,U004868,D02935,2025-04-07,9,36,17,5
S0000267,U005570,D03975,2025-11-04,23,15,18,2
S0000268,U001922,D00600,2025-01-11,2,38,15,4
S0000269,U003180,D03258,2025-02-14,23,41,8,3
S0000270,U002265,D03319,2025-07-03,10,21,8,4
S0000271,U009975,D03088,2025-02-27,9,42,6,2
S0000272,U006061,D04801,2025-04-25,16,15,20,2
S0000273,U006281,D02268,2025-10-10,21,3,2,2
S0000274,U002969,D02576,2025-03-30,18,13,20,4
S0000275,U002149,D02268,2025-07-29,15,9,20,1
S0000276,U000500,D03008,2025-06-08,13,16,10,0
S0000277,U001269,D02513,2025-08-24,20,4,6,0
S0000278,U008226,D03713,2025-06-19,9,37,17,0
S0000279,U008247,D01511,2025-06-27,7,9,7,3
S0000280,U005953,D01950,2025-08-12,3,14,15,5
S0000281,U003672,D00953,2025-01-26,13,28,18,1
S0000282,U008102,D04508,2025-09-13,13,22,1,2
S0000283,U009700,D02422,2025-06-09,14,34,6,3
S0000284,U001211,D00643,2025-11-14,2,42,18,0
S0000285,U006800,D03636,2025-04-22,4,15,20,2
S0000286,U005133,D00476,2025-12-01,5,35,11,1
S0000287,U009927,D02224,2025-12-08,8,42,5,4
S0000288,U003180,D01027,2025-06-22,17,32,14,3
S0000289,U004549,D01528,2025-10-29,18,2,5,2
S0000290,U006851,D01810,2025-03-03,20,34,6,3
S0000291,U001418,D01188,2025-04-27,0,5,15,1
S0000292,U004925,D02346,2025-04-30,22,29,8,5
S0000293,U009947,D04469,2025-05-17,1,39,10,2
S0000294,U007411,D04146,2025-07-04,5,42,10,0
S0000295,U006053,D03565,2025-11-22,10,3,3,0
S0000296,U002816,D02922,2025-07-12,11,11,13,2
S0000297,U006293,D02251,2025-04-14,18,2,12,1
S0000298,U004086,D02443,2025-04-25,20,45,1,3
S0000299,U008479,D04459,2025-08-04,20,23,9,2
S0000300,U003790,D02945,2025-09-06,1,40,19,2
S0000301,U002580,D02572,2025-08-30,5,26,14,3
S0000302,U002176,D02609,2025-09-24,10,24,10,5
S0000303,U003991,D04353,2025-12-02,13,2,9,4
S0000304,U006296,D02587,2025-11-03,17,25,4,5
S0000305,U005663,D01368,2025-06-04,15,44,14,0
S0000306,U003563,D03021,2025-02-22,5,32,1,1
S0000307,U004532,D00784,2025-04-19,13,25,5,1
S0000308,U003416,D04285,2025-07-02,19,27,7,4
S0000309,U004601,D03712,2025-10-02,12,38,8,5
S0000310,U008752,D03575,2025-04-17,2,20,6,4
S0000311,U009241,D01732,2025-10-13,15,33,19,2
S0000312,U000253,D01205,2025-03-27,7,41,6,2
S0000313,U004469,D03583,2025-10-01,18,20,2,3
S0000314,U008781,D00579,2025-11-20,9,18,4,2
S0000315,U009167,D04792,2025-09-28,21,1,12,4
S0000316,U007980,D03634,2025-03-27,11,6,5,0
S0000317,U000023,D01245,2025-11-06,12,8,8,1
S0000318,U009470,D01268,2025-01-12,11,6,2,5
S0000319,U002915,D00727,2025-10-08,4,41,20,5
S0000320,U002269,D00353,2025-07-22,2,16,17,3
S0000321,U005301,D03751,2025-05-16,12,31,18,4
S0000322,U001837,D04060,2025-09-13,16,26,18,4
S0000323,U007499,D02993,2025-01-03,5,34,5,2
S0000324,U004282,D04784,2025-06-05,10,14,7,2
S0000325,U004404,D02060,2025-03-18,7,17,14,4
S0000326,U003653,D04388,2025-06-06,20,36,19,4
S0000327,U006836,D02192,2025-06-05,2,28,5,3
S0000328,U003809,D00774,2025-09-22,2,8,5,2
S0000329,U008588,D02317,2025-04-14,15,11,14,5
S0000330,U009601,D03053,2025-04-28,9,5,19,2
S0000331,U000190,D01165,2025-10-14,4,9,17,5
S0000332,U003427,D00668,2025-08-28,21,38,20,5
S0000333,U004076,D00947,2025-01-09,12,45,19,5
S0000334,U009544,D02917,2025-08-24,22,16,12,5
S0000335,U004480,D00635,2025-04-09,20,16,18,4
S0000336,U006557,D01978,2025-02-08,6,37,17,5
S0000337,U003854,D00131,2025-04-18,11,16,12,3
S0000338,U000985,D02691,2025-09-06,9,2,17,1
S0000339,U008367,D04642,2025-04-12,14,36,4,0
S0000340,U003187,D03815,2025-07-26,9,39,20,3
S0000341,U007482,D01595,2025-11-16,21,39,10,2
S0000342,U004131,D01603,2025-06-06,15,40,11,1
S0000343,U008698,D00567,2025-03-03,10,36,9,3
S0000344,U001352,D00716,2025-11-15,9,1,15,0
S0000345,U001334,D04483,2025-04-06,5,36,6,1
S0000346,U009151,D00012,2025-04-25,22,44,6,3
S0000347,U007339,D02265,2025-11-24,11,37,17,5
S0000348,U000920,D04846,2025-03-06,11,16,2,5
S0000349,U004040,D01387,2025-11-10,20,21,2,4
S0000350,U001352,D00237,2025-07-15,5,28,2,4
S0000351,U001398,D03501,2025-12-27,13,20,15,0
S0000352,U002711,D00003,2025-09-27,18,20,2,0
S0000353,U009983,D03870,2025-04-09,19,11,19,0
S0000354,U001142,D02348,2025-08-28,19,10,7,3
S0000355,U009273,D04563,2025-07-14,21,35,18,3
S0000356,U001590,D00600,2025-06-02,8,31,8,2
S0000357,U008361,D01173,2025-06-13,7,42,18,4
S0000358,U005442,D02649,2025-03-27,20,27,15,2
S0000359,U004264,D04528,2025-11-03,8,13,12,3
S0000360,U001934,D03286,2025-10-21,22,16,9,5
S0000361,U000246,D00292,2025-04-04,12,1,6,3
S0000362,U005647,D02420,2025-11-23,1,36,7,5
S0000363,U007882,D02220,2025-09-10,3,17,13,1
S0000364,U008060,D01243,2025-01-31,8,30,12,4
S0000365,U000164,D01928,2025-12-04,12,29,18,4
S0000366,U002911,D04478,2025-02-08,18,35,8,5
S0000367,U001995,D01077,2025-05-26,20,41,19,0
S0000368,U009876,D03578,2025-06-30,7,8,17,0
S0000369,U000862,D00893,2025-02-26,2,22,10,1
S0000370,U007234,D02607,2025-10-18,0,34,7,2
S0000371,U002819,D02665,2025-08-20,22,9,11,0
S0000372,U004750,D03267,2025-03-20,23,18,18,5
S0000373,U001442,D04633,2025-01-21,10,24,6,0
S0000374,U004909,D00436,2025-02-22,0,24,11,0
S0000375,U005482,D01082,2025-12-26,10,38,9,3
S0000376,U004042,D01659,2025-08-28,17,39,17,3
S0000377,U001958,D02999,2025-12-05,5,10,20,2
S0000378,U008578,D04209,2025-06-16,0,39,15,1
S0000379,U006865,D00625,2025-11-29,8,39,4,0
S0000380,U001774,D00194,2025-11-20,16,31,16,2
S0000381,U006034,D01586,2025-06-07,18,24,20,0
S0000382,U001398,D04936,2025-09-09,6,19,8,4
S0000383,U004463,D00737,2025-10-23,22,33,3,4
S0000384,U005812,D02639,2025-10-03,9,6,17,3
S0000385,U006858,D01400,2025-11-26,7,11,15,5
S0000386,U000050,D03514,2025-12-21,9,10,8,5
S0000387,U004385,D04650,2025-11-13,23,44,8,0
S0000388,U009454,D03144,2025-03-03,15,35,6,2
S0000389,U004070,D03584,2025-10-12,16,10,18,0
S0000390,U008346,D04398,2025-07-13,7,39,3,0
S0000391,U009276,D01490,2025-05-21,2,21,8,1
S0000392,U006137,D00558,2025-11-18,0,22,5,1
S0000393,U002778,D01286,2025-12-20,17,23,2,1
S0000394,U000079,D01781,2025-01-08,15,31,2,4
S0000395,U004732,D01688,2025-12-01,18,11,13,2
S0000396,U004891,D02539,2025-09-29,3,7,12,1
S0000397,U006246,D02642,2025-11-11,13,32,13,4
S0000398,U006149,D00871,2025-02-19,10,33,10,4
S0000399,U005264,D02615,2025-09-11,5,7,17,0
S0000400,U003229,D04492,2025-06-25,16,21,12,2
S0000401,U005125,D03837,2025-11-02,19,9,4,1
S0000402,U002317,D02537,2025-06-24,18,36,16,1
S0000403,U004702,D00860,2025-05-15,1,4,2,1
S0000404,U001598,D00361,2025-05-06,23,17,16,4
S0000405,U008114,D02441,2025-04-12,1,5,6,3
S0000406,U005203,D02394,2025-10-21,11,5,15,3
S0000407,U005277,D01041,2025-01-05,0,17,11,4
S0000408,U008630,D04162,2025-06-17,7,43,13,5
S0000409,U000781,D03003,2025-08-10,7,43,10,4
S0000410,U000802,D03211,2025-05-17,9,5,12,2
S0000411,U005600,D04282,2025-01-25,6,44,18,4
S0000412,U000713,D00290,2025-11-29,22,39,19,5
S0000413,U007639,D04643,2025-04-28,14,34,7,1
S0000414,U006503,D00408,2025-02-04,11,12,5,1
S0000415,U000475,D01015,2025-07-01,4,42,9,5
S0000416,U002739,D04854,2025-12-21,5,3,7,5
S0000417,U005562,D03549,2025-12-10,15,44,1,3
S0000418,U009804,D00740,2025-04-12,15,9,9,0
S0000419,U004897,D00393,2025-10-14,21,6,9,4
S0000420,U005336,D00238,2025-07-15,15,2,6,5
S0000421,U001212,D04623,2025-06-22,17,35,1,0
S0000422,U000082,D04268,2025-10-25,17,12,20,3
S0000423,U007520,D00957,2025-11-15,15,43,18,3
S0000424,U001900,D03180,2025-02-21,16,37,6,3
S0000425,U003867,D04016,2025-09-07,10,42,6,4
S0000426,U006527,D00804,2025-12-01,0,33,16,2
S0000427,U007864,D02028,2025-04-08,13,32,9,3
S0000428,U008788,D01835,2025-01-19,14,12,19,2
S0000429,U007657,D02769,2025-03-05,6,2,5,3
S0000430,U008821,D04634,2025-02-06,23,25,17,4
S0000431,U005442,D03585,2025-01-30,9,39,15,3
S0000432,U005199,D01265,2025-04-05,23,29,3,3
S0000433,U002331,D00336,2025-10-05,6,7,19,1
S0000434,U009283,D02589,2025-11-13,20,41,6,0
S0000435,U006725,D03763,2025-08-01,12,40,14,5
S0000436,U008689,D04635,2025-01-03,19,13,8,3
S0000437,U000733,D00180,2025-04-26,11,11,18,1
S0000438,U009968,D02134,2025-07-26,14,43,19,1
S0000439,U000152,D04803,2025-04-02,23,36,18,3
S0000440,U004127,D02316,2025-01-07,2,5,9,5
S0000441,U006621,D02891,2025-09-23,8,37,12,2
S0000442,U005699,D03523,2025-12-18,20,42,6,3
S0000443,U006588,D00511,2025-11-27,11,15,3,4
S0000444,U007118,D02689,2025-04-15,21,3,19,0
S0000445,U009799,D03243,2025-07-29,6,18,19,5
S0000446,U005307,D01326,2025-09-13,9,3,1,4
S0000447,U006631,D03602,2025-09-01,18,4,20,0
S0000448,U009961,D03513,2025-11-18,5,9,13,0
S0000449,U004063,D01514,2025-09-07,22,36,9,5
S0000450,U005604,D00176,2025-08-05,10,13,18,2
S0000451,U003386,D02333,2025-07-06,1,38,5,4
S0000452,U005971,D00778,2025-10-22,6,6,2,3
S0000453,U004348,D01563,2025-11-11,10,35,18,2
S0000454,U001261,D01142,2025-11-23,15,31,14,0
S0000455,U003153,D02573,2025-10-28,13,6,10,5
S0000456,U004680,D01603,2025-02-13,3,30,17,3
S0000457,U006876,D03143,2025-06-17,4,18,19,5
S0000458,U008657,D01424,2025-08-21,19,3,20,0
S0000459,U006708,D03554,2025-11-18,14,41,20,2
S0000460,U003678,D04421,2025-12-22,10,3,9,4
S0000461,U007046,D01773,2025-02-19,4,20,7,5
S0000462,U005779,D02882,2025-05-30,23,27,14,4
S0000463,U009713,D03845,2025-02-23,6,10,15,0
S0000464,U008871,D02383,2025-02-27,14,1,19,0
S0000465,U005832,D04771,2025-10-12,20,33,2,1
S0000466,U002153,D02375,2025-04-28,22,11,2,5
S0000467,U008023,D01213,2025-09-09,20,39,5,5
S0000468,U002305,D02241,2025-11-05,20,36,12,3
S0000469,U009178,D04888,2025-02-02,12,11,6,1
S0000470,U008710,D04260,2025-05-03,10,5,18,4
S0000471,U007233,D02986,2025-11-06,4,2,1,2
S0000472,U003886,D01769,2025-04-09,6,28,15,4
S0000473,U001400,D01226,2025-08-19,19,43,7,1
S0000474,U008177,D04767,2025-08-17,6,41,12,4
S0000475,U009096,D04398,2025-04-12,1,29,1,2
S0000476,U008237,D00728,2025-01-11,8,38,7,2
S0000477,U008053,D04394,2025-02-20,6,37,1,3
S0000478,U000614,D00757,2025-07-12,0,17,12,0
S0000479,U004174,D03333,2025-10-11,17,24,16,0
S0000480,U006301,D04621,2025-11-15,11,12,17,3
S0000481,U008211,D00850,2025-08-28,4,38,8,5
S0000482,U009806,D04763,2025-09-01,4,32,18,0
S0000483,U002114,D04444,2025-04-08,5,26,9,1
S0000484,U007527,D02521,2025-06-26,3,12,20,2
S0000485,U004985,D01342,2025-07-12,22,3,5,1
S0000486,U004291,D01015,2025-05-10,9,35,20,0
S0000487,U000199,D04187,2025-02-10,1,36,7,2
S0000488,U001904,D01116,2025-07-30,22,30,15,3
S0000489,U009230,D01315,2025-01-15,20,28,5,2
S0000490,U004745,D02560,2025-12-12,9,39,8,5
S0000491,U004516,D00678,2025-12-16,3,14,8,4
S0000492,U001617,D00627,2025-12-27,7,44,4,5
S0000493,U000442,D04149,2025-01-25,3,5,11,4
S0000494,U006824,D02201,2025-04-26,12,32,5,5
S0000495,U009302,D00136,2025-07-09,23,20,2,4
S0000496,U009266,D03527,2025-01-02,10,16,4,4
