date,year,month,month_name,quarter,week,day,day_name,is_weekend
2025-07-18,2025,7,July,3,29,18,Friday,False
2025-07-19,2025,7,July,3,29,19,Saturday,True
2025-07-20,2025,7,July,3,29,20,Sunday,True
2025-07-21,2025,7,July,3,30,21,Monday,False
2025-07-22,2025,7,July,3,30,22,Tuesday,False
2025-07-23,2025,7,July,3,30,23,Wednesday,False
2025-07-24,2025,7,July,3,30,24,Thursday,False
2025-07-25,2025,7,July,3,30,25,Friday,False
2025-07-26,2025,7,July,3,30,26,Saturday,True
2025-07-27,2025,7,July,3,30,27,Sunday,True
2025-07-28,2025,7,July,3,31,28,Monday,False
2025-07-29,2025,7,July,3,31,29,Tuesday,False
2025-07-30,2025,7,July,3,31,30,Wednesday,False
2025-07-31,2025,7,July,3,31,31,Thursday,False
2025-08-01,2025,8,August,3,31,1,Friday,False
2025-08-02,2025,8,August,3,31,2,Saturday,True
2025-08-03,2025,8,August,3,31,3,Sunday,True
2025-08-04,2025,8,August,3,32,4,Monday,False
2025-08-05,2025,8,August,3,32,5,Tuesday,False
2025-08-06,2025,8,August,3,32,6,Wednesday,False
2025-08-07,2025,8,August,3,32,7,Thursday,False
2025-08-08,2025,8,August,3,32,8,Friday,False
2025-08-09,2025,8,August,3,32,9,Saturday,True
2025-08-10,2025,8,August,3,32,10,Sunday,True
2025-08-11,2025,8,August,3,33,11,Monday,False
2025-08-12,2025,8,August,3,33,12,Tuesday,False
2025-08-13,2025,8,August,3,33,13,Wednesday,False
2025-08-14,2025,8,August,3,33,14,Thursday,False
2025-08-15,2025,8,August,3,33,15,Friday,False
2025-08-16,2025,8,August,3,33,16,Saturday,True
2025-08-17,2025,8,August,3,33,17,Sunday,True
2025-08-18,2025,8,August,3,34,18,Monday,False
2025-08-19,2025,8,August,3,34,19,Tuesday,False
2025-08-20,2025,8,August,3,34,20,Wednesday,False
2025-08-21,2025,8,August,3,34,21,Thursday,False
2025-08-22,2025,8,August,3,34,22,Friday,False
2025-08-23,2025,8,August,3,34,23,Saturday,True
2025-08-24,2025,8,August,3,34,24,Sunday,True
2025-08-25,2025,8,August,3,35,25,Monday,False
2025-08-26,2025,8,August,3,35,26,Tuesday,False
2025-08-27,2025,8,August,3,35,27,Wednesday,False
2025-08-28,2025,8,August,3,35,28,Thursday,False
2025-08-29,2025,8,August,3,35,29,Friday,False
2025-08-30,2025,8,August,3,35,30,Saturday,True
2025-08-31,2025,8,August,3,35,31,Sunday,True
2025-09-01,2025,9,September,3,36,1,Monday,False
2025-09-02,2025,9,September,3,36,2,Tuesday,False
2025-09-03,2025,9,September,3,36,3,Wednesday,False
2025-09-04,2025,9,September,3,36,4,Thursday,False
2025-09-05,2025,9,September,3,36,5,Friday,False
2025-09-06,2025,9,September,3,36,6,Saturday,True
2025-09-07,2025,9,September,3,36,7,Sunday,True
2025-09-08,2025,9,September,3,37,8,Monday,False
2025-09-09,2025,9,September,3,37,9,Tuesday,False
2025-09-10,2025,9,September,3,37,10,Wednesday,False
2025-09-11,2025,9,September,3,37,11,Thursday,False
2025-09-12,2025,9,September,3,37,12,Friday,False
2025-09-13,2025,9,September,3,37,13,Saturday,True
2025-09-14,2025,9,September,3,37,14,Sunday,True
2025-09-15,2025,9,September,3,38,15,Monday,False
2025-09-16,2025,9,September,3,38,16,Tuesday,False
2025-09-17,2025,9,September,3,38,17,Wednesday,False
2025-09-18,2025,9,September,3,38,18,Thursday,False
2025-09-19,2025,9,September,3,38,19,Friday,False
2025-09-20,2025,9,September,3,38,20,Saturday,True
2025-09-21,2025,9,September,3,38,21,Sunday,True
2025-09-22,2025,9,September,3,39,22,Monday,False
2025-09-23,2025,9,September,3,39,23,Tuesday,False
2025-09-24,2025,9,September,3,39,24,Wednesday,False
2025-09-25,2025,9,September,3,39,25,Thursday,False
2025-09-26,2025,9,September,3,39,26,Friday,False
2025-09-27,2025,9,September,3,39,27,Saturday,True
2025-09-28,2025,9,September,3,39,28,Sunday,True
2025-09-29,2025,9,September,3,40,29,Monday,False
2025-09-30,2025,9,September,3,40,30,Tuesday,False
2025-10-01,2025,10,October,4,40,1,Wednesday,False
2025-10-02,2025,10,October,4,40,2,Thursday,False
2025-10-03,2025,10,October,4,40,3,Friday,False
2025-10-04,2025,10,October,4,40,4,Saturday,True
2025-10-05,2025,10,October,4,40,5,Sunday,True
2025-10-06,2025,10,October,4,41,6,Monday,False
2025-10-07,2025,10,October,4,41,7,Tuesday,False
2025-10-08,2025,10,October,4,41,8,Wednesday,False
2025-10-09,2025,10,October,4,41,9,Thursday,False
2025-10-10,2025,10,October,4,41,10,Friday,False
2025-10-11,2025,10,October,4,41,11,Saturday,True
2025-10-12,2025,10,October,4,41,12,Sunday,True
2025-10-13,2025,10,October,4,42,13,Monday,False
2025-10-14,2025,10,October,4,42,14,Tuesday,False
2025-10-15,2025,10,October,4,42,15,Wednesday,False
2025-10-16,2025,10,October,4,42,16,Thursday,False
2025-10-17,2025,10,October,4,42,17,Friday,False
2025-10-18,2025,10,October,4,42,18,Saturday,True
2025-10-19,2025,10,October,4,42,19,Sunday,True
2025-10-20,2025,10,October,4,43,20,Monday,False
2025-10-21,2025,10,October,4,43,21,Tuesday,False
2025-10-22,2025,10,October,4,43,22,Wednesday,False
2025-10-23,2025,10,October,4,43,23,Thursday,False
2025-10-24,2025,10,October,4,43,24,Friday,False
2025-10-25,2025,10,October,4,43,25,Saturday,True
2025-10-26,2025,10,October,4,43,26,Sunday,True
2025-10-27,2025,10,October,4,44,27,Monday,False
2025-10-28,2025,10,October,4,44,28,Tuesday,False
2025-10-29,2025,10,October,4,44,29,Wednesday,False
2025-10-30,2025,10,October,4,44,30,Thursday,False
2025-10-31,2025,10,October,4,44,31,Friday,False
2025-11-01,2025,11,November,4,44,1,Saturday,True
2025-11-02,2025,11,November,4,44,2,Sunday,True
2025-11-03,2025,11,November,4,45,3,Monday,False
2025-11-04,2025,11,November,4,45,4,Tuesday,False
2025-11-05,2025,11,November,4,45,5,Wednesday,False
2025-11-06,2025,11,November,4,45,6,Thursday,False
2025-11-07,2025,11,November,4,45,7,Friday,False
2025-11-08,2025,11,November,4,45,8,Saturday,True
2025-11-09,2025,11,November,4,45,9,Sunday,True
2025-11-10,2025,11,November,4,46,10,Monday,False
2025-11-11,2025,11,November,4,46,11,Tuesday,False
2025-11-12,2025,11,November,4,46,12,Wednesday,False
2025-11-13,2025,11,November,4,46,13,Thursday,False
2025-11-14,2025,11,November,4,46,14,Friday,False
2025-11-15,2025,11,November,4,46,15,Saturday,True
2025-11-16,2025,11,November,4,46,16,Sunday,True
2025-11-17,2025,11,November,4,47,17,Monday,False
2025-11-18,2025,11,November,4,47,18,Tuesday,False
2025-11-19,2025,11,November,4,47,19,Wednesday,False
2025-11-20,2025,11,November,4,47,20,Thursday,False
2025-11-21,2025,11,November,4,47,21,Friday,False
2025-11-22,2025,11,November,4,47,22,Saturday,True
2025-11-23,2025,11,November,4,47,23,Sunday,True
2025-11-24,2025,11,November,4,48,24,Monday,False
2025-11-25,2025,11,November,4,48,25,Tuesday,False
2025-11-26,2025,11,November,4,48,26,Wednesday,False
2025-11-27,2025,11,November,4,48,27,Thursday,False
2025-11-28,2025,11,November,4,48,28,Friday,False
2025-11-29,2025,11,November,4,48,29,Saturday,True
2025-11-30,2025,11,November,4,48,30,Sunday,True
2025-12-01,2025,12,December,4,49,1,Monday,False
2025-12-02,2025,12,December,4,49,2,Tuesday,False
2025-12-03,2025,12,December,4,49,3,Wednesday,False
2025-12-04,2025,12,December,4,49,4,Thursday,False
2025-12-05,2025,12,December,4,49,5,Friday,False
2025-12-06,2025,12,December,4,49,6,Saturday,True
2025-12-07,2025,12,December,4,49,7,Sunday,True
2025-12-08,2025,12,December,4,50,8,Monday,False
2025-12-09,2025,12,December,4,50,9,Tuesday,False
2025-12-10,2025,12,December,4,50,10,Wednesday,False
2025-12-11,2025,12,December,4,50,11,Thursday,False
2025-12-12,2025,12,December,4,50,12,Friday,False
2025-12-13,2025,12,December,4,50,13,Saturday,True
2025-12-14,2025,12,December,4,50,14,Sunday,True
2025-12-15,2025,12,December,4,51,15,Monday,False
2025-12-16,2025,12,December,4,51,16,Tuesday,False
2025-12-17,2025,12,December,4,51,17,Wednesday,False
2025-12-18,2025,12,December,4,51,18,Thursday,False
2025-12-19,2025,12,December,4,51,19,Friday,False
2025-12-20,2025,12,December,4,51,20,Saturday,True
2025-12-21,2025,12,December,4,51,21,Sunday,True
2025-12-22,2025,12,December,4,52,22,Monday,False
2025-12-23,2025,12,December,4,52,23,Tuesday,False
2025-12-24,2025,12,December,4,52,24,Wednesday,False
2025-12-25,2025,12,December,4,52,25,Thursday,False
2025-12-26,2025,12,December,4,52,26,Friday,False
2025-12-27,2025,12,December,4,52,27,Saturday,True
2025-12-28,2025,12,December,4,52,28,Sunday,True
2025-12-29,2025,12,December,4,1,29,Monday,False
2025-12-30,2025,12,December,4,1,30,Tuesday,False
2025-12-31,2025,12,December,4,1,31,Wednesday,False
